tournament_id,total_sg:ott,player_url,measured_rounds,average,rounds,player_id,rank_this_week,player_name,rank_last_week,time_period,tournament,season
t003,5.638,https://www.pgatour.com/players/player.32102.rickie-fowler.html,4,1.410,4,32102,3,Rickie Fowler,18,Tournament Only,Waste Management Phoenix Open,2019
t003,5.214,https://www.pgatour.com/players/player.46601.trey-mullinax.html,4,1.304,4,46601,4,Trey Mullinax,31,Tournament Only,Waste Management Phoenix Open,2019
t003,4.793,https://www.pgatour.com/players/player.31646.emiliano-grillo.html,4,1.198,4,31646,5,Emiliano Grillo,28,Tournament Only,Waste Management Phoenix Open,2019
t003,4.220,https://www.pgatour.com/players/player.33410.andrew-landry.html,4,1.055,4,33410,6,Andrew Landry,,Tournament Only,Waste Management Phoenix Open,2019
t003,3.965,https://www.pgatour.com/players/player.27141.j-b--holmes.html,4,.991,4,27141,7,J.B. Holmes,,Tournament Only,Waste Management Phoenix Open,2019
t003,3.906,https://www.pgatour.com/players/player.29478.kevin-kisner.html,4,.977,4,29478,8,Kevin Kisner,,Tournament Only,Waste Management Phoenix Open,2019
t003,3.645,https://www.pgatour.com/players/player.35461.beau-hossler.html,4,.911,4,35461,9,Beau Hossler,64,Tournament Only,Waste Management Phoenix Open,2019
t003,3.397,https://www.pgatour.com/players/player.27064.jhonattan-vegas.html,4,.849,4,27064,10,Jhonattan Vegas,,Tournament Only,Waste Management Phoenix Open,2019
t003,3.253,https://www.pgatour.com/players/player.34098.russell-henley.html,4,.813,4,34098,11,Russell Henley,,Tournament Only,Waste Management Phoenix Open,2019
t003,3.237,https://www.pgatour.com/players/player.34363.tyrrell-hatton.html,4,.809,4,34363,12,Tyrrell Hatton,,Tournament Only,Waste Management Phoenix Open,2019
t003,3.200,https://www.pgatour.com/players/player.47347.adam-schenk.html,4,.800,4,47347,13,Adam Schenk,T57,Tournament Only,Waste Management Phoenix Open,2019
t003,2.964,https://www.pgatour.com/players/player.37189.harold-varner-iii.html,4,.741,4,37189,14,Harold Varner III,,Tournament Only,Waste Management Phoenix Open,2019
t003,2.890,https://www.pgatour.com/players/player.33667.carlos-ortiz.html,4,.723,4,33667,15,Carlos Ortiz,,Tournament Only,Waste Management Phoenix Open,2019
t003,2.785,https://www.pgatour.com/players/player.35421.brandon-harkins.html,4,.696,4,35421,16,Brandon Harkins,,Tournament Only,Waste Management Phoenix Open,2019
t003,2.766,https://www.pgatour.com/players/player.39977.max-homa.html,4,.692,4,39977,17,Max Homa,,Tournament Only,Waste Management Phoenix Open,2019
t003,2.693,https://www.pgatour.com/players/player.32839.hideki-matsuyama.html,4,.673,4,32839,18,Hideki Matsuyama,22,Tournament Only,Waste Management Phoenix Open,2019
t003,2.379,https://www.pgatour.com/players/player.33399.adam-hadwin.html,4,.595,4,33399,19,Adam Hadwin,,Tournament Only,Waste Management Phoenix Open,2019
t003,2.235,https://www.pgatour.com/players/player.23108.matt-kuchar.html,4,.559,4,23108,20,Matt Kuchar,,Tournament Only,Waste Management Phoenix Open,2019
t003,2.071,https://www.pgatour.com/players/player.12716.charley-hoffman.html,4,.518,4,12716,21,Charley Hoffman,,Tournament Only,Waste Management Phoenix Open,2019
t003,2.057,https://www.pgatour.com/players/player.26476.chez-reavie.html,4,.514,4,26476,22,Chez Reavie,,Tournament Only,Waste Management Phoenix Open,2019
t003,2.045,https://www.pgatour.com/players/player.39546.keith-mitchell.html,4,.511,4,39546,23,Keith Mitchell,,Tournament Only,Waste Management Phoenix Open,2019
t003,2.014,https://www.pgatour.com/players/player.27214.kevin-streelman.html,4,.504,4,27214,24,Kevin Streelman,,Tournament Only,Waste Management Phoenix Open,2019
t003,1.999,https://www.pgatour.com/players/player.56278.matthew-wolff.html,4,.500,4,56278,25,Matthew Wolff,,Tournament Only,Waste Management Phoenix Open,2019
t003,1.847,https://www.pgatour.com/players/player.33122.russell-knox.html,4,.462,4,33122,26,Russell Knox,68,Tournament Only,Waste Management Phoenix Open,2019
t003,1.746,https://www.pgatour.com/players/player.47993.denny-mccarthy.html,4,.437,4,47993,27,Denny McCarthy,,Tournament Only,Waste Management Phoenix Open,2019
t003,1.670,https://www.pgatour.com/players/player.46970.jon-rahm.html,4,.418,4,46970,28,Jon Rahm,5,Tournament Only,Waste Management Phoenix Open,2019
t003,1.510,https://www.pgatour.com/players/player.29974.branden-grace.html,4,.378,4,29974,29,Branden Grace,,Tournament Only,Waste Management Phoenix Open,2019
t003,1.476,https://www.pgatour.com/players/player.30944.jason-kokrak.html,4,.369,4,30944,30,Jason Kokrak,14,Tournament Only,Waste Management Phoenix Open,2019
t003,1.408,https://www.pgatour.com/players/player.26758.david-hearn.html,4,.352,4,26758,31,David Hearn,,Tournament Only,Waste Management Phoenix Open,2019
t003,1.385,https://www.pgatour.com/players/player.24781.hunter-mahan.html,4,.346,4,24781,32,Hunter Mahan,,Tournament Only,Waste Management Phoenix Open,2019
t003,1.344,https://www.pgatour.com/players/player.25818.scott-piercy.html,4,.336,4,25818,33,Scott Piercy,,Tournament Only,Waste Management Phoenix Open,2019
t003,1.278,https://www.pgatour.com/players/player.46501.ollie-schniederjans.html,4,.320,4,46501,34,Ollie Schniederjans,,Tournament Only,Waste Management Phoenix Open,2019
